source,target,variance,nij,score
i242,i224,0.0026246434840025,0.1392405063291139,0.979968096762332
i242,i898,0.0026246434840025,0.0918196994991652,0.9629072517169724
i242,i312,0.0026246434840025,0.1076923076923077,0.9513714758710724
i242,i221,0.0026246434840025,0.162754303599374,0.9896605406011488
i242,i690,0.0026246434840025,0.1282339707536557,0.9779920803265588
i242,i272,0.0026143509868456,0.1138487680543755,0.9590979409926182
i242,i285,0.0026246434840025,0.1925849639546858,0.9955338681518748
i242,i116,0.0026194871252456,0.134453781512605,0.9770819648273188
i242,i270,0.0025906462359981,0.1077636152954808,0.9514688306593015
i242,i319,0.0025889694777848,0.1894736842105263,0.9951251132513556
i242,i124,0.0025690163728324,0.1290322580645161,0.9733081671200932
i242,i304,0.0026194871252456,0.1347031963470319,0.9772421268520431
i242,i268,0.0025062409162244,0.1309148264984227,0.974684207459844
i242,i310,0.0026246434840025,0.1289954337899543,0.9732805184380672
i242,i269,0.0025078121959885,0.1941135248773651,0.995721955886618
i242,i289,0.0025316200606383,0.1335773101555352,0.9765101507548976
i242,i258,0.0024691121403587,0.1150812064965197,0.9604905518574828
i242,i515,0.0025046716041915,0.1090448013524936,0.953185191502306
i242,i531,0.0026246434840025,0.1158256880733945,0.9613087275878468
i242,i137,0.0025956895673899,0.1512690355329949,0.9857173865751914
i242,i311,0.0026246434840025,0.1573208722741433,0.9879529944777762
i242,i292,0.0026058353683163,0.1174242424242424,0.9676258981805856
i242,i327,0.002622922443678,0.1148577449947313,0.9602416133325742
i242,i13,0.0025575184554772,0.1381100726895119,0.9793210985630064
i242,i847,0.0026246434840025,0.1107438016528925,0.955368082493815
i242,i324,0.0026246434840025,0.1098191214470284,0.9541929721006296
i242,i19,0.0026246434840025,0.1297709923664122,0.9738568286775396
i242,i713,0.0026246434840025,0.1116207951070336,0.956454742943
i242,i45,0.0026246434840025,0.1140845070422535,0.9593680594884744
i242,i750,0.0026246434840025,0.1209964412811387,0.9665427905921206
i242,i287,0.0026246434840025,0.1149253731343283,0.9603171167641688
i242,i286,0.0024706371957206,0.1703470031545741,0.9916492565955994
i242,i9,0.0025236340381507,0.1124744376278118,0.9574870708888952
i242,i275,0.0025739757603495,0.1157742402315484,0.9612527357470194
i242,i20,0.0026246434840025,0.1299524564183835,0.9739898696192156
i242,i297,0.0026246434840025,0.1348122866894198,0.977311827267874
i242,i276,0.0025558842920654,0.1135557132718239,0.9587596445411388
i242,i134,0.0026246434840025,0.1104553119730185,0.9550047315560052
i242,i301,0.0025188665630401,0.1413953488372093,0.981145903577639
i242,i14,0.0026041388972234,0.1788537549407114,0.9934269277958752
i242,i303,0.0025300188152653,0.1878862793572311,0.9949023679861676
i242,i302,0.002436030871302,0.1592920353982301,0.9886028095927254
i242,i462,0.0025412702585751,0.1244541484716157,0.9696418371024772
i242,i321,0.0025575184554772,0.1254237288135593,0.9704581524800732
i242,i262,0.0026246434840025,0.1073094867807153,0.9508454722799548
i242,i59,0.0025906462359981,0.1120331950207468,0.9569565577027224
i242,i874,0.0026246434840025,0.0979667282809611,0.9649017289172032
i242,i306,0.0026246434840025,0.1652892561983471,0.9937209366656362
i242,i10,0.0026246434840025,0.1068493150684931,0.9502056564638915
i242,i283,0.0026246434840025,0.122754491017964,0.9681560824097192
i242,i170,0.0025624335077575,0.1328671328671328,0.9760363877194044
i242,i990,0.0026246434840025,0.0735849056603773,0.9613513128191706
i242,i887,0.0026246434840025,0.1044303797468354,0.9623349313825909
i242,i305,0.0026246434840025,0.1825037707390648,0.994068584347108
i242,i251,0.0026246434840025,0.137221269296741,0.9787977653544124
i224,i16,0.0027453346458596,0.1294117647058823,0.9661912522739328
i224,i20,0.0027453346458596,0.1855072463768116,0.9868113548749186
i224,i14,0.0026041388972234,0.1426735218508997,0.9641287761403576
i224,i137,0.0025956895673899,0.1576011157601115,0.9746871771278328
i224,i61,0.002622922443678,0.1848484848484848,0.9866067628240568
i224,i171,0.0026684157488324,0.149584487534626,0.9694750400882756
i224,i146,0.0027453346458596,0.0742857142857142,0.9794871320483268
i224,i256,0.0027453346458596,0.1055276381909547,0.9549658442711524
i224,i60,0.0026212036589025,0.1506849315068493,0.9702495413105314
