movie_id,community_label
i1,0
i10,0
i100,0
i1000,0
i1001,0
i1002,0
i1003,0
i1004,0
i1005,0
i1006,0
i1008,0
i1009,0
i101,0
i1010,0
i1011,0
i1012,0
i1013,0
i1014,0
i1015,0
i1016,0
i1017,0
i1018,0
i1019,0
i102,0
i1020,0
i1021,0
i1022,0
i1023,0
i1024,0
i1025,0
i1026,0
i1027,0
i1028,0
i1029,0
i103,0
i1030,0
i1031,0
i1032,0
i1033,0
i1034,0
i1035,0
i1036,0
i1037,0
i1038,0
i104,0
i1040,0
i1041,0
i1042,0
i1043,0
i1044,0
i1045,0
i1046,0
i1047,0
i1048,0
i1049,0
i105,0
i1050,0
i1051,0
i1052,0
i1053,0
i1054,0
i1055,0
i1056,0
i1057,0
i1058,0
i1059,0
i106,0
i1061,0
i1062,0
i1063,0
i1064,0
i1065,0
i1066,0
i1067,0
i1068,0
i1069,0
i1070,0
i1071,0
i1072,0
i1073,0
i1074,0
i1075,0
i1076,0
i1077,0
i1078,0
i1079,0
i108,0
i1080,0
i1081,0
i1082,0
i1083,0
i1084,0
i1085,0
i1086,0
i1087,0
i1088,0
i1089,0
i109,0
i1090,0
i1091,0
i1092,0
i1093,0
i1094,0
i1095,0
i1096,0
i1097,0
i1099,0
i11,0
i110,0
i1100,0
i1101,0
i1102,0
i1103,0
i1104,0
i1105,0
i1106,0
i1107,0
i1108,0
i1109,0
i111,0
i1110,0
i1111,0
i1112,0
i1113,0
i1114,0
i1115,0
i1116,0
i1118,0
i1119,0
i112,0
i1120,0
i1121,0
i1122,0
i1123,0
i1124,0
i1125,0
i1126,0
i1127,0
i1128,0
i1129,0
i113,0
i1130,0
i1131,0
i1132,0
i1133,0
i1134,0
i1135,0
i1136,0
i1137,0
i1138,0
i1139,0
i114,0
i1140,0
i1141,0
i1142,0
i1143,0
i1144,0
i1145,0
i1146,0
i1147,0
i1148,0
i1149,0
i115,0
i1150,0
i1151,0
i1152,0
i1153,0
i1154,0
i1155,0
i1157,0
i1158,0
i1159,0
i1160,0
i1161,0
i1162,0
i1163,0
i1164,0
i1165,0
i1166,0
i1167,0
i1168,0
i1169,0
i117,0
i1170,0
i1171,0
i1172,0
i1173,0
i1174,0
i1175,0
i1176,0
i1177,0
i1178,0
i1179,0
i118,0
i1180,0
i1181,0
i1182,0
i1183,0
i1184,0
i1185,0
i1186,0
i1187,0
i1188,0
i1189,0
i119,0
i1190,0
i1191,0
i1192,0
i1193,0
i1194,0
i1195,0
i1196,0
i1197,0
i1198,0
i1199,0
i12,0
i120,0
i1200,0
i1201,0
i1202,0
i1203,0
i1204,0
i1205,0
i1206,0
i1207,0
i1208,0
i1209,0
i121,0
i1210,0
i1211,0
i1212,0
i1213,0
i1214,0
i1215,0
i1216,0
i1217,0
i1218,0
i1219,0
i122,0
i1220,0
i1221,0
i1222,0
i1223,0
i1224,0
i1225,0
i1226,0
i1227,0
i1228,0
i1229,0
i123,0
i1230,0
i1231,0
i1232,0
i1233,0
i1234,0
i1235,0
i1236,0
i1237,0
i1238,0
i1239,0
i1240,0
i1241,0
i1242,0
i1243,0
i1244,0
i1245,0
i1246,0
i1247,0
i1248,0
i1249,0
i125,0
i1250,0
i1251,0
i1252,0
i1253,0
i1254,0
i1255,0
i1256,0
i1257,0
i1258,0
i1259,0
i126,0
i1260,0
i1261,0
i1262,0
i1263,0
i1264,0
i1265,0
i1266,0
i1267,0
i1268,0
i1269,0
i127,0
i1270,0
i1271,0
i1272,0
i1273,0
i1274,0
i1275,0
i1276,0
i1277,0
i1278,0
i1279,0
i128,0
i1280,0
i1281,0
i1282,0
i1283,0
i1284,0
i1285,0
i1286,0
i1287,0
i1288,0
i1289,0
i129,0
i1290,0
i1291,0
i1292,0
i1293,0
i1294,0
i1295,0
i1296,0
i1297,0
i1298,0
i1299,0
i13,0
i130,0
i1300,0
i1301,0
i1302,0
i1303,0
i1304,0
i1305,0
i1306,0
i1307,0
i1308,0
i1309,0
i131,0
i1310,0
i1311,0
i1312,0
i1313,0
i1314,0
i1315,0
i1316,0
i1317,0
i1318,0
i1319,0
i132,0
i1320,0
i1321,0
i1322,0
i1323,0
i1324,0
i1325,0
i1326,0
i1327,0
i1328,0
i1329,0
i133,0
i1330,0
i1331,0
i1332,0
i1333,0
i1334,0
i1335,0
i1336,0
i1337,0
i1338,0
i1339,0
i134,0
i1340,0
i1341,0
i1342,0
i1343,0
i1344,0
i1345,0
i1346,0
i1347,0
i1348,0
i1349,0
i135,0
i1350,0
i1351,0
i1352,0
i1353,0
i1354,0
i1355,0
i1356,0
i1357,0
i1358,0
i1359,0
i136,0
i1360,0
i1361,0
i1362,0
i1363,0
i1364,0
i1365,0
i1366,0
i1367,0
i1368,0
i1369,0
i1370,0
i1371,0
i1372,0
i1373,0
i1374,0
i1375,0
i1376,0
i1377,0
i1378,0
i1379,0
i138,0
i1380,0
i1381,0
i1382,0
i1383,0
i1384,0
i1385,0
i1386,0
i1387,0
i1388,0
i1389,0
i139,0
i1390,0
i1391,0
i1392,0
i1393,0
i1394,0
i1395,0
i1396,0
i1397,0
i1398,0
i1399,0
i140,0
i1400,0
i1402,0
i1403,0
i1404,0
i1405,0
i1406,0
i1407,0
i1408,0
i1409,0
i141,0
i1410,0
i1411,0
i1412,0
i1413,0
i1414,0
i1415,0
i1416,0
i1417,0
i1418,0
i1419,0
i142,0
i1420,0
i1421,0
i1422,0
i1423,0
i1424,0
i1425,0
i1426,0
i1427,0
i1428,0
i1429,0
i143,0
i1430,0
i1431,0
i1432,0
i1433,0
i1434,0
i1435,0
i1436,0
i1437,0
i1438,0
i1439,0
i144,0
i1440,0
i1441,0
i1442,0
i1443,0
i1444,0
i1445,0
i1446,0
i1447,0
i1448,0
i1449,0
i145,0
i1450,0
i1451,0
i1452,0
i1453,0
i1454,0
i1455,0
i1456,0
i1457,0
i1458,0
i1459,0
i146,0
i1460,0
i1461,0
i1462,0
i1463,0
i1464,0
i1465,0
i1466,0
i1467,0
i1468,0
i1469,0
i147,0
i1470,0
i1471,0
i1472,0
i1473,0
i1474,0
i1475,0
i1476,0
i1477,0
i1478,0
i1479,0
i148,0
i1480,0
i1481,0
i1482,0
i1483,0
i1484,0
i1485,0
i1486,0
i1487,0
i1488,0
i1489,0
i149,0
i1490,0
i1491,0
i1492,0
i1493,0
i1494,0
i1495,0
i1496,0
i1497,0
i1498,0
i1499,0
i15,0
i150,0
i1500,0
i1501,0
i1502,0
i1503,0
i1504,0
i1506,0
i1507,0
i1508,0
i1509,0
i151,0
i1510,0
i1511,0
i1512,0
i1513,0
i1514,0
i1515,0
i1516,0
i1517,0
i1518,0
i1519,0
i152,0
i1520,0
i1521,0
i1522,0
i1523,0
i1524,0
i1525,0
i1526,0
i1527,0
i1528,0
i1529,0
i153,0
i1530,0
i1531,0
i1532,0
i1533,0
i1534,0
i1535,0
i1536,0
i1537,0
i1538,0
i1539,0
i154,0
i1540,0
i1541,0
i1542,0
i1543,0
i1544,0
i1545,0
i1546,0
i1547,0
i1548,0
i1549,0
i155,0
i1550,0
i1551,0
i1552,0
i1553,0
i1554,0
i1555,0
i1556,0
i1557,0
i1558,0
i1559,0
i156,0
i1560,0
i1561,0
i1562,0
i1563,0
i1564,0
i1565,0
i1566,0
i1567,0
i1568,0
i1569,0
i157,0
i1570,0
i1571,0
i1572,0
i1573,0
i1574,0
i1575,0
i1576,0
i1577,0
i1578,0
i1579,0
i158,0
i1580,0
i1581,0
i1582,0
i1583,0
i1584,0
i1585,0
i1586,0
i1587,0
i1588,0
i1589,0
i159,0
i1590,0
i1591,0
i1592,0
