source,target,weight
i0,i801,0.2839859402893473
i0,i976,98.3601369117451
i0,i79,52.2391291410443
i0,i26,29.49877368946428
i0,i540,45.57326514330408
i0,i811,3.413222939965745
i0,i727,55.345145179230194
i0,i904,139.9974734276444
i0,i734,19.31254359436777
i0,i185,77.61229547395206
i0,i808,0.4837053350592817
i0,i973,0.6915096980822703
i0,i342,7.925715870192812
i0,i204,2.8340351463027966
i0,i47,1.9372586657976567
i0,i172,170.8810633750517
i0,i1495,27.944215090650424
i0,i181,0.136386573095503
i0,i456,1.5529215246659036
i0,i155,60.283901722266336
i0,i268,53.248669534301946
i0,i262,28.1843599832661
i0,i88,190.71053970541035
i0,i942,0.5473921319784124
i0,i524,119.24216729000236
i0,i121,63.50007829073829
i0,i115,68.32542040382955
i0,i1353,29.25777659939945
i0,i1312,5.770269495737558
i0,i1523,144.32280113388384
i0,i328,2468.480961935326
i0,i1219,550.8637203025003
i0,i24,15.844423545800437
i0,i1030,77.91932970704646
i0,i64,0.7778648816052071
i0,i818,225.53842971408824
i0,i744,25.24584938136546
i0,i850,3.994255329170952
i0,i1051,506.41456971717184
i0,i1472,289.0364187899958
i0,i774,13.435195810355411
i0,i1313,44.63847621912317
i0,i950,2.2121217961065924
i0,i470,118.97678053431196
i0,i939,4.728841363456695
i0,i452,0.3351217850451371
i0,i678,0.9411838906581502
i0,i415,0.7547624944559816
i0,i125,1.771830709936903
i0,i188,46.55511321780529
i0,i464,78.89036492580215
i0,i189,42.423530551114204
i0,i19,12.323890044774023
i0,i219,2.6361358034007223
i0,i5,41.337779563776365
i0,i191,61.948620392507245
i0,i979,12.11995161557754
i0,i1145,54.823249779250666
i0,i207,31.338535746658582
i0,i746,590.1340043893035
i0,i659,12.508537208170477
i0,i947,45.5462440389313
i0,i906,77.78392843083677
i0,i1466,1.2104040465280606
i0,i135,2.102506211462888
i0,i554,12.28285452143882
i0,i1186,8.693092559752008
i0,i1376,388.8217211466574
i0,i153,0.9963852828765508
i0,i724,4.2459801511584265
i0,i1448,14.677722972321146
i0,i1511,0.2747254848846618
i0,i1281,4.151359553695934
i0,i1101,0.1907278005987685
i0,i1566,33.56795327585626
i0,i816,373.5245757163898
i0,i453,0.9436391749602666
i0,i1496,421.47831760492414
i0,i845,8.308068789265336
i0,i133,387.3988744389552
i0,i1322,8.817366446171441
i0,i1487,14.203188289078703
i0,i1446,14.791270257293226
i0,i825,1724.659682716731
i0,i828,10.00554740528166
i0,i866,21.1197102821503
i0,i943,13.016715804877444
i0,i965,9.47750353470909
i0,i792,0.1833935328517372
i0,i712,750.4217195049007
i0,i337,252.79940493967385
i0,i663,0.0544484702093397
i0,i126,6.964508071370325
i0,i77,1.4581431405298768
i0,i1142,12.85971529232303
i0,i1163,63.239148904920974
i0,i1045,79.58620267852892
i0,i403,0.9116933103702124
i0,i4,0.7376886363784733
i0,i855,3.2108579279710976
i0,i1352,0.7840068379645245
i0,i39,9.903647284125467
i0,i835,211.3375994771349
i0,i1267,6.023015928325852
i0,i283,1.6419929742457615
i0,i269,0.5149343783415672
i0,i665,31.146322238591047
i0,i1311,5.184942002603677
i0,i1237,9.984819296158149
i0,i755,7.597641284258287
i0,i798,97.29945219889332
i0,i1023,57.60542356874498
i0,i439,23.60644941654036
i0,i235,43.314407850405374
i0,i814,12.6141276024415
i0,i1513,2185.541100120928
i0,i739,0.4325929862463579
i0,i381,6.893793693059157
i0,i743,30.31997538902944
i0,i775,2.012244455958329
i0,i585,21.734456316811222
i0,i794,0.2877150023889154
i0,i1343,33.46559688810568
i0,i16,1.4876754565403356
i0,i190,163.1615963808879
i0,i165,101.2059470442092
i0,i459,42.60334729309216
i0,i1420,3.578925865637931
i0,i8,51.635475987717925
i0,i697,111.53493912219912
i0,i1259,0.866077314248046
i0,i1046,37.73594683221774
i0,i56,2.4214504583516634
i0,i341,270.29577227426154
i0,i366,53.86239552012204
i0,i752,11.439600076646276
i0,i1379,2.678220696848856
i0,i23,817.4081761476967
i0,i329,3.5848931497163945
i0,i1021,1.328691033597455
i0,i175,89.7683548727236
i0,i527,30.083751617334595
i0,i178,284.5152405983269
i0,i651,37.44569184766966
i0,i102,19.615181760749675
i0,i1254,43.97585482999597
i0,i883,0.3824412187992906
i0,i1016,0.5669081125319863
i0,i610,0.8798066420901868
i0,i428,2.564345344256513
i0,i1,2744.829565877332
i0,i1393,3.0475335181258894
i0,i1524,24.39811276947912
i0,i37,0.4673305408241218
i0,i633,1076.053544394601
i0,i1094,45.51245836176069
i0,i1251,434.73113178039927
i0,i1437,19.495785150335617
i0,i760,188.07738926015548
i0,i299,93.12898342251448
i0,i483,344.3740494944382
i0,i867,22.447403721569376
i0,i1337,365.4372499252409
i0,i959,18.8607961657898
i0,i875,15.993385388915357
i0,i60,2445.6452624567
i0,i1188,2.936220191932964
i0,i1171,17.574047747498177
i0,i1048,128.85072129702607
i0,i66,8.62901992649148
i0,i1394,67.89111862475168
i0,i954,0.2482381790557063
i0,i624,59.95244885705228
i0,i226,676.829089293333
i0,i1200,11.824229114210777
i0,i859,0.5425967542913676
i0,i986,150.60876380790884
i0,i275,119.2817857393652
i0,i25,6.5422173515087305
i0,i917,640.2727849885354
i0,i953,0.9771907537110198
i0,i449,10.172078327003955
i0,i307,19.331074343163444
i0,i1296,837.1534600105801
i0,i699,19.01229150726782
